Unnamed: 0,Unnamed: 0.1,RA_deg,DEC_deg,coord_ra,coord_dec,object,Field,ccdnum,MJDObs,Obs,AIRMASS,SEEING,EXPTIME,base_PsfFlux_flux,base_PsfFlux_fluxSigma
159803,159803,308.5236154743042,-39.69938236466129,5.384752910183535,-0.6928849332715117,1036,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1472.6971221825934,93.85497008772334
159804,159804,308.52357025700934,-39.69937002071481,5.384752120992861,-0.6928847178290033,1036,1,24,57996.12773527,3.0,1.02,2.522,240.0,1276.608154161933,162.99519317944797
159805,159805,308.5251717849316,-39.82158193692491,5.384780072928168,-0.6950177181520405,1037,1,24,57992.10106363,1.0,1.02,2.364,240.0,1215.2497915000422,79.08098363133794
159806,159806,308.525117276236,-39.821599138053706,5.384779121571957,-0.6950180183683731,1037,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1054.8043220359311,92.03358893930073
159807,159807,308.52511615664946,-39.821608578443,5.384779102031486,-0.6950181831342489,1037,1,24,57996.12773527,3.0,1.02,2.522,240.0,1141.2409706893266,159.41988683625794
159808,159808,308.5238364907488,-39.71440081288535,5.384756767648194,-0.6931470546415618,1038,1,24,57992.10106363,1.0,1.02,2.364,240.0,909.2463437930724,77.94051688661565
159809,159809,308.5238635112348,-39.71439215138956,5.38475723924464,-0.6931469034699421,1038,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,996.1981624654284,92.0634972431784
159810,159810,308.5243016970458,-39.75281332653004,5.384764887029778,-0.6938174794786288,1039,1,24,57992.10106363,1.0,1.02,2.364,240.0,1494.1754361946905,79.63169367627863
159811,159811,308.5243198388718,-39.752835046647355,5.384765203664376,-0.6938178585661898,1039,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1347.8121672726452,93.01824311481191
159812,159812,308.52435772687437,-39.75279448998892,5.384765864934766,-0.6938171507189668,1039,1,24,57996.12773527,3.0,1.02,2.522,240.0,1358.8412803895285,163.21377743823538
